ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Gene name syn)	Complex comment	Disease comment	SWISSPROT organism	Subunits comment	subunits(Gene name)	PubMed ID	subunits(Protein name)
25	9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex	Mouse	None	None	O08915;P07901;P11499;P30561	11632;15519;15516;11622	MI:0019- coimmunoprecipitation; MI:0030- cross-linking studies	GO:0006950;GO:0009593;GO:0042221;GO:0005737	response to stress;detection of chemical stimulus;response to chemical;cytoplasm	32.01;34.11.03;70.03	stress response;chemoperception and response;cytoplasm	;Hsp86 Hsp86-1 Hspca;Hsp84 Hsp84-1 Hspcb;	The authors propose that the AhR exists in cytosol as a tetrameric species, while in the nucleus the AhR exists as a heterodimer.	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	Aip;Hsp90aa1;Hsp90ab1;Ahr	1310021	AH receptor-interacting protein ;Heat shock protein HSP 90-alpha;Heat shock protein HSP 90-beta ;Aryl hydrocarbon receptor
26	Bestrophin-protein phosphatase 2A complex	Pig	None	eye	P54612;P67776;Q8WMR7	397088;397656;397169	MI:0004-affinity chromatography technologies;MI:0019-coimmunoprecipitation	GO:0006821;GO:0005216;GO:0023052;GO:0009583;GO:0009416;GO:0007601	chloride transport;ion channel activity;signaling;detection of light stimulus;response to light stimulus;visual perception	20.01.01.07.09;20.03.01.01;30.01;34.11.01;34.11.01.03	chloride transport;ion channels;cellular signalling;photoperception and response;visual transduction	None;None;VMD2	The interaction of bestrophin and PP2A suggests that phosphorylation or dephosphorylation of bestrophin may act as the on/off switch for the light peak or modulate its amplitude or timing.	None	Sus scrofa (Pig);Sus scrofa (Pig);Sus scrofa (Pig)	None	PPP2R1A;PPP2CA;BEST1	12058047	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform;Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform;Bestrophin-1
27	Arp2/3 protein complex	Human	ARP2/3 protein complex	None	O15143;O15144;O15145;O15511;P59998;P61158;P61160	10095;10109;10094;10092;10093;10096;10097	MI:0027-cosedimentation;MI:0071-molecular sieving	None	None	None	None	ARC41;ARC34;ARC21;ARC16;ARC20;ARP3;ARP2	None	Transcript levels of ARP2/3 complex subunits, and of nucleation promotion factors that regulate the ARP2/3 complex, were significantly lower in DLPFC layer 3 and 5 pyramidal cells in schizophrenia. In contrast, these transcripts were unaltered, or only modestly changed, in parvalbumin interneurons and DLPFC gray matter (PMID:27523502)	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	ARPC1B;ARPC2;ARPC3;ARPC5;ARPC4;ACTR3;ACTR2	9359840	Actin-related protein 2/3 complex subunit 1B;Actin-related protein 2/3 complex subunit 2;Actin-related protein 2/3 complex subunit 3;Actin-related protein 2/3 complex subunit 5;Actin-related protein 2/3 complex subunit 4;Actin-related protein 3;Actin-related protein 2
28	Modulator	Bovine	PA700-dependent proteasome activator	None	Q2KIW6;Q3SZ19;Q3SZ81	518637;513315;508448	MI:0071-molecular sieving;MI:0226-ion exchange chromatography	GO:0043161;GO:0006511;GO:0005524;GO:0051098;GO:0005515;GO:0016504	proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;ATP binding;regulation of binding;protein binding;peptidase activator activity	14.13.01.01;16.19.03;18.01.07;16.01;18.02.01.01.03	proteasomal degradation (ubiquitin/proteasomal pathway);ATP binding;regulation by binding / dissociation;protein binding;protease activator	None;None;None	The modulator has no direct effect on the activity of the proteasome, but enhances PA700 activation of the proteasome by up to 8-fold. This activation is associated with the formation of a proteasome/PA700-containing complex that is significantly larger than that formed in its absence. Two of its proteins, p50 and p42, were also identified as components of PA700.	None	Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine)	None	PSMC6;PSMD9;PSMC3	8621709	26S protease regulatory subunit 10B;26S proteasome non-ATPase regulatory subunit 9;PSMC3 protein
29	PA28gamma complex	Human	None	None	P61289	10197	MI:0226-ion exchange chromatography;MI:0071-molecular sieving	GO:0043161;GO:0005515;GO:0016504	proteasome-mediated ubiquitin-dependent protein catabolic process;protein binding;peptidase activator activity	14.13.01.01;16.01;18.02.01.01.03	proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;protease activator	None	None	None	Homo sapiens (Human)	According to gel filtration chromatography experiments, the protein complex probably consists of seven identical subunits.	PSME3	9325261	Proteasome activator complex subunit 3
30	PA28 complex	Human	11S REG	None	Q06323;Q9UL46	5720;5721	MI:0071- molecular sieving; MI:0226- ion exchange chromatography	GO:0043161;GO:0006511;GO:0051098;GO:0005515;GO:0016504;GO:0005737	proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;regulation of binding;protein binding;peptidase activator activity;cytoplasm	14.13.01.01;18.01.07;16.01;18.02.01.01.03;70.03	proteasomal degradation (ubiquitin/proteasomal pathway);regulation by binding / dissociation;protein binding;protease activator;cytoplasm	IFI5111;None	PA28 is a regulatory complex of the 20S proteasome. It acts as proteasome activator and stimulates cleavage after basic, acidic, and most hydrophobic residues in many peptides.	None	Homo sapiens (Human);Homo sapiens (Human)	None	PSME1;PSME2	9325261	Proteasome activator complex subunit 1;Proteasome activator complex subunit 2
32	PA700 complex	Human	19S complex	None	O00231;O00232;O00233;O00487;O43242;O75832;P17980;P35998;P43686;P48556;P51665;P55036;P62191;P62195;P62333;Q13200;Q15008;Q16401;Q99460;Q9UNM6	5717;5718;5715;10213;5709;5716;5702;5701;5704;5714;5713;5710;5700;5705;5706;5708;9861;5711;5707;5719	MI:0226-ion exchange chromatography;MI:0071-molecular sieving	GO:0043161;GO:0005515;GO:0016504	proteasome-mediated ubiquitin-dependent protein catabolic process;protein binding;peptidase activator activity	14.13.01.01;16.01;18.02.01.01.03	proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;protease activator	None;None;None;POH1;None;None;TBP1;MSS1;MIP224 TBP7;None;MOV34L;MCB1;None;SUG1;SUG2;TRAP2;KIAA0107 PFAAP4;KIAA0072;None;None	The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	PSMD11;PSMD12;PSMD9;PSMD14;PSMD3;PSMD10;PSMC3;PSMC2;PSMC4;PSMD8;PSMD7;PSMD4;PSMC1;PSMC5;PSMC6;PSMD2;PSMD6;PSMD5;PSMD1;PSMD13	9148964	26S proteasome non-ATPase regulatory subunit 11;26S proteasome non-ATPase regulatory subunit 12;26S proteasome non-ATPase regulatory subunit 9;26S proteasome non-ATPase regulatory subunit 14;26S proteasome non-ATPase regulatory subunit 3;26S proteasome non-ATPase regulatory subunit 10;26S protease regulatory subunit 6A;26S protease regulatory subunit 7;26S protease regulatory subunit 6B;26S proteasome non-ATPase regulatory subunit 8;26S proteasome non-ATPase regulatory subunit 7;26S proteasome non-ATPase regulatory subunit 4;26S protease regulatory subunit 4;26S protease regulatory subunit 8;26S protease regulatory subunit 10B;26S proteasome non-ATPase regulatory subunit 2;26S proteasome non-ATPase regulatory subunit 6;26S proteasome non-ATPase regulatory subunit 5;26S proteasome non-ATPase regulatory subunit 1;26S proteasome non-ATPase regulatory subunit 13
34	Aqp4-Dag1-Dmd-Snta1 complex	Rat	None	cerebellum homogenate	P11530;P47863;Q498T0;Q91XP6	24907;25293;362242;114489	MI:0019-coimmunoprecipitation	GO:0015267;GO:0005886	channel activity;plasma membrane	20.03.01;70.02	channel / pore class transport;eukaryotic plasma membrane / membrane attached	None;None;None;None	The authors show that expression and subcellular localization of AQP4 depend on association with the dystrophin complex through a tSSV-PDZ-mediated interaction with alpha -syntrophin.	None	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	Dystrophin has been described as the astrocyte isoform of dystrophin, Dp71.	Dmd;Aqp4;Snta1;Dag1	11717465	Dystrophin;Aquaporin-4;Snta1 protein;Dystroglycan 1
36	AP1 adaptor complex	Human	None	None	O43747;O75843;P56377;P61966;Q10567;Q96PC3;Q9BXS5;Q9Y6Q5	164;8906;8905;1174;162;130340;8907;10053	MI:0018- two hybrid	GO:0006886;GO:0006605;GO:0015031;GO:0016192;GO:0006900;GO:0016050;GO:0006897;GO:0030133	intracellular protein transport;protein targeting;protein transport;vesicle-mediated transport;membrane budding;vesicle organization;endocytosis;transport vesicle	14.04;20.01.10;20.09.07;20.09.07.25;20.09.18.09.01;70.09	protein targeting, sorting and translocation;protein transport;vesicular transport (Golgi network, etc.);vesicle formation;endocytosis;intracellular transport vesicles	ADTG CLAPG1;None;None;AP19 CLAPS1;ADTB1 BAM22 CLAPB2;None;CLTNM;None	This adaptor-related complex participates in a transport step different from that of AP-1. It may function at some trafficking step in the complex pathways between the TGN and the cell surface.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	AP1G1;AP1G2;AP1S2;AP1S1;AP1B1;AP1S3;AP1M1;AP1M2	9733768	AP-1 complex subunit gamma-1;AP-1 complex subunit gamma-like 2;AP-1 complex subunit sigma-2;AP-1 complex subunit sigma-1A;AP-1 complex subunit beta-1;AP-1 complex subunit sigma-3;AP-1 complex subunit mu-1;AP-1 complex subunit mu-2
39	Immunoproteasome	Mouse	20S immunoproteasome; proteasome	None	O09061;O35955;O70435;P28063;P28076;P49722;P99026;Q9QUM9;Q9R1P0;Q9R1P1;Q9R1P3;Q9R1P4;Q9Z2U0;Q9Z2U1	19170;19171;19167;16913;16912;19166;19172;26443;26441;26446;26445;26440;26444;26442	MI:0019-coimmunoprecipitation	GO:0016485;GO:0043161;GO:0006511;GO:0006950;GO:0019882;GO:0005737;GO:0005634	protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;antigen processing and presentation;cytoplasm;nucleus	14.07.11;14.13.01.01;32.01;36.25.16.03.05;70.03;70.10	protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;antigen presentation / processing;cytoplasm;nucleus	None;Lmp10 Mecl1;None;Lmp7 Mc13;Lmp2 Ring12;Lmpc3;Lmp3;None;None;None;None;None;None;None	The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	Psmb1;Psmb10;Psma3;Psmb8;Psmb9;Psma2;Psmb4;Psma6;Psma4;Psmb3;Psmb2;Psma1;Psma7;Psma5	10436176	Proteasome subunit beta type-1;Proteasome subunit beta type-10;Proteasome subunit alpha type-3;Proteasome subunit beta type-8;Proteasome subunit beta type-9;Proteasome subunit alpha type-2;Proteasome subunit beta type-4;Proteasome subunit alpha type-6;Proteasome subunit alpha type-4;Proteasome subunit beta type-3;Proteasome subunit beta type-2;Proteasome subunit alpha type-1;Proteasome subunit alpha type-7;Proteasome subunit alpha type-5
41	Mi-2/NuRD-MTA3 complex	Human	None	HeLa and 293T cells	O94776;O95983;P41182;Q13547;Q9BTC8	9219;53615;604;3065;57504	MI:0019-coimmunoprecipitation;MI:0096-pull down	GO:0006265;GO:0045892;GO:0006473;GO:0006476;GO:0051276;GO:0030183;GO:0005634	DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;chromosome organization;B cell differentiation;nucleus	10.01.09.05;11.02.03.04.03;14.07.04;42.10.03;43.03.07.02.01.01;70.10	DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;organization of chromosome structure;B-cell;nucleus	MTA1L1 PID;None;BCL5 LAZ3 ZBTB27 ZNF51;RPD3L1;KIAA1266	The transcriptional repressor BCL-6 regulates B lymphocyte cell fate during the germinal center reaction by preventing terminal differentiation of B lymphocytes into plasma cells until appropriate signals are received. A cofactor, MTA3, a cell type-specific subunit of the corepressor complex Mi-2/NuRD, for BCL-6-dependent cell fate determination is reported. MTA3 is expressed in the same pattern in germinal centers as BCL-6. BCL-6 physically interacts with Mi-2/NuRD and this interaction is sensitive to BCL-6 acetylation status.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	MTA2;MBD3;BCL6;HDAC1;MTA3	15454082	Metastasis-associated protein MTA2;Methyl-CpG-binding domain protein 3;B-cell lymphoma 6 protein;Histone deacetylase 1;Metastasis-associated protein MTA3
42	Cask-Mint-Veli tripartite complex	Rat	None	brain	O35430;Q62915;Q9Z250	83589;29647;85327	MI:0019-coimmunoprecipitation;MI:0096-pull down	GO:0006461;GO:0048489;GO:0016079;GO:0007268;GO:0007155;GO:0030054	protein complex assembly;synaptic vesicle transport;synaptic vesicle exocytosis;synaptic transmission;cell adhesion;cell junction	14.10;20.09.16.09.05;34.03.01;34.07;70.06	assembly of protein complexes;synaptic vesicle exocytosis;synaptic transmission;cell adhesion;cell junction	Mint1 X11;None;Mals1 Veli1	This complex acts as a nucleation site for the assembly of proteins involved in synaptic vesicle exocytosis and synaptic junctions.	None	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	Apba1;Cask;Lin7a	9753324	Amyloid beta A4 precursor protein-binding family A member 1;Peripheral plasma membrane protein CASK;Protein lin-7 homolog A
46	AP2 adaptor complex	Mammalia	None	None	P17427;P62743;P63010;P84092	11772;232910;163;116563	MI:0004- affinity chromatography technologies; MI:0114- x-ray crystallography	GO:0006886;GO:0006605;GO:0015031;GO:0006461;GO:0016192;GO:0006897;GO:0030133	intracellular protein transport;protein targeting;protein transport;protein complex assembly;vesicle-mediated transport;endocytosis;transport vesicle	14.04;20.01.10;14.10;20.09.07;20.09.18.09.01;70.09	protein targeting, sorting and translocation;protein transport;assembly of protein complexes;vesicular transport (Golgi network, etc.);endocytosis;intracellular transport vesicles	Adtab;Ap17 Claps2;ADTB2 CLAPB1;	None	None	Mus musculus (Mouse);Mus musculus (Mouse);Homo sapiens (Human);Rattus norvegicus (Rat)	None	Ap2a2;Ap2s1;AP2B1;Ap2m1	12086608	AP-2 complex subunit alpha-2;AP-2 complex subunit sigma ;AP-2 complex subunit beta ;AP-2 complex subunit mu
47	DNA polymerase alpha-primase complex	Mouse	None	None	P20664;P33609;P33610;P33611	19075;18968;19076;18969	MI:0027- cosedimentation	GO:0006260;GO:0005634	DNA replication;nucleus	10.01.03;70.10	DNA synthesis and replication;nucleus	None;Pola;None;None	In growing mouse FM3A cells, the transcripts of the four subunits are present throughout the cell cycle and increase slightly prior to the S phase.	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	Prim1;Pola1;Prim2;Pola2	8463324	DNA primase small subunit;DNA polymerase alpha catalytic subunit;DNA primase large subunit;DNA polymerase alpha subunit B
48	RGS7-Gbeta5-Galphaq complex	Mammalia	None	None	O46470;P21279;P62881	281452;14682;14697	MI:0055- fluorescent resonance energy transfer	GO:0007186	G-protein coupled receptor signaling pathway	30.05.02.24	G-protein coupled receptor signalling pathway	;;	None	None	Bos taurus (Bovine);Mus musculus (Mouse);Mus musculus (Mouse)	For the FRET experiments the authors used murine Gbeta5, bovine RGS7, and murine Galphaq.	RGS7;Gnaq;Gnb5	12670932	Regulator of G-protein signaling 7 ;Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein subunit beta-5
